"YEAR","MONTH","DAY_OF_WEEK","FL_DATE","CARRIER","TAIL_NUM","FL_NUM","ORIGIN","DEST","DEP_TIME","DEP_DELAY","ARR_TIME","ARR_DELAY",
2016,1,2,2016-01-05,"DL","N940AT","1532","ATL","DSM","1507",2.00,"1610",-17.00,
2016,1,2,2016-01-05,"DL","N940AT","1532","DSM","ATL","1705",-2.00,"2006",-9.00,
2016,1,3,2016-01-06,"DL","N957AT","1532","ATL","DSM","1526",16.00,"1627",-5.00,
2016,1,3,2016-01-06,"DL","N957AT","1532","DSM","ATL","1706",-1.00,"2031",16.00,
2016,1,2,2016-01-05,"DL","N987DL","1953","ATL","DSM","2054",-2.00,"2201",-23.00,
2016,1,3,2016-01-06,"DL","N987DL","1952","DSM","ATL","0551",-3.00,"0905",0.00,
2016,1,3,2016-01-06,"DL","N974DL","1953","ATL","DSM","2054",-2.00,"2211",-13.00,
2016,1,3,2016-01-06,"DL","N940AT","2541","ATL","DSM","0959",-1.00,"1100",-16.00,
2016,1,3,2016-01-06,"DL","N940AT","2541","DSM","ATL","1150",-2.00,"1451",-7.00,
2016,1,4,2016-01-07,"DL","N974DL","1952","DSM","ATL","0549",-5.00,"0908",3.00,
2016,1,4,2016-01-07,"DL","N953DL","1953","ATL","DSM","2052",-4.00,"2149",-35.00,
2016,1,4,2016-01-07,"DL","N937AT","1532","ATL","DSM","1509",-1.00,"1611",-21.00,
2016,1,4,2016-01-07,"DL","N937AT","1532","DSM","ATL","1703",-4.00,"2014",-1.00,
2016,1,5,2016-01-08,"DL","N932AT","2541","ATL","DSM","0956",-4.00,"1059",-17.00,
2016,1,5,2016-01-08,"DL","N932AT","2541","DSM","ATL","1148",-4.00,"1444",-14.00,
2016,1,4,2016-01-07,"DL","N922AT","2541","ATL","DSM","0957",-3.00,"1102",-14.00,
2016,1,4,2016-01-07,"DL","N922AT","2541","DSM","ATL","1150",-2.00,"1440",-18.00,
2016,1,5,2016-01-08,"DL","N951AT","1532","ATL","DSM","1510",0.00,"1623",-9.00,
2016,1,5,2016-01-08,"DL","N951AT","1532","DSM","ATL","1704",-3.00,"2002",-13.00,
2016,1,5,2016-01-08,"DL","N953DL","1952","DSM","ATL","0549",-5.00,"0856",-9.00,
2016,1,5,2016-01-08,"DL","N952DL","1953","ATL","DSM","2053",-3.00,"2204",-20.00,
2016,1,7,2016-01-10,"DL","N972AT","1532","ATL","DSM","1544",34.00,"1644",12.00,
2016,1,7,2016-01-10,"DL","N972AT","1532","DSM","ATL","1724",17.00,"2024",9.00,
2016,1,7,2016-01-10,"DL","N940DL","1952","DSM","ATL","0612",18.00,"0940",35.00,
2016,1,7,2016-01-10,"DL","N917DE","1953","ATL","DSM","2102",6.00,"2218",-6.00,
2016,1,1,2016-01-11,"DL","N917DE","1952","DSM","ATL","0552",-2.00,"0909",4.00,
2016,1,1,2016-01-11,"DL","N980DL","1953","ATL","DSM","2057",1.00,"2206",-18.00,
2016,1,1,2016-01-11,"DL","N998AT","1532","ATL","DSM","1508",-2.00,"1613",-19.00,
2016,1,1,2016-01-11,"DL","N998AT","1532","DSM","ATL","1704",-3.00,"1959",-16.00,
2016,1,1,2016-01-11,"DL","N906AT","2541","ATL","DSM","0957",-3.00,"1059",-17.00,
2016,1,1,2016-01-11,"DL","N906AT","2541","DSM","ATL","1146",-6.00,"1440",-18.00,
2016,1,6,2016-01-09,"DL","N945DL","1793","ATL","DSM","1220",-5.00,"1317",-30.00,
2016,1,6,2016-01-09,"DL","N945DL","1793","DSM","ATL","1428",-2.00,"1728",-7.00,
2016,1,6,2016-01-09,"DL","N952DL","1952","DSM","ATL","0554",-1.00,"0912",7.00,
2016,1,6,2016-01-09,"DL","N940DL","1953","ATL","DSM","2054",-2.00,"2157",-24.00,
2016,1,7,2016-01-10,"DL","N608AT","2541","ATL","DSM","1004",4.00,"1111",-5.00,
2016,1,7,2016-01-10,"DL","N608AT","2541","DSM","ATL","1150",-1.00,"1445",-10.00,
2016,1,2,2016-01-12,"DL","N927AT","1532","ATL","DSM","1509",-1.00,"1622",-10.00,
2016,1,2,2016-01-12,"DL","N927AT","1532","DSM","ATL","1704",-3.00,"1958",-17.00,
2016,1,5,2016-01-29,"AA","N764US","779","PHX","DSM","1940",-5.00,"2345",13.00,
2016,1,5,2016-01-29,"AA","N827AW","895","DSM","PHX","1747",-3.00,"1939",-25.00,
2016,1,5,2016-01-29,"AA","N827AW","896","PHX","DSM","1313",-2.00,"1706",5.00,
2016,1,7,2016-01-31,"AA","N819AW","896","PHX","DSM","1335",20.00,"1701",0.00,
2016,1,7,2016-01-31,"AA","N819AW","1949","DSM","PHX","1746",-4.00,"2004",0.00,
2016,1,2,2016-01-12,"DL","N980DL","1952","DSM","ATL","0556",2.00,"0930",25.00,
2016,1,2,2016-01-12,"DL","N926DL","1953","ATL","DSM","2051",-5.00,"2209",-15.00,
2016,1,4,2016-01-14,"DL","N961AT","1532","ATL","DSM","1509",-1.00,"1607",-25.00,
2016,1,4,2016-01-14,"DL","N961AT","1532","DSM","ATL","1701",-6.00,"2000",-15.00,
2016,1,4,2016-01-14,"DL","N927DA","1952","DSM","ATL","0546",-8.00,"0854",-11.00,
2016,1,4,2016-01-14,"DL","N943DL","1953","ATL","DSM","2054",-2.00,"2157",-27.00,
2016,1,4,2016-01-14,"DL","N950AT","2541","ATL","DSM","0959",-1.00,"1057",-19.00,
2016,1,4,2016-01-14,"DL","N950AT","2541","DSM","ATL","1148",-4.00,"1444",-14.00,
2016,1,5,2016-01-15,"DL","N998AT","1532","ATL","DSM","1520",10.00,"1622",-10.00,
2016,1,5,2016-01-15,"DL","N998AT","1532","DSM","ATL","1659",-8.00,"2009",-6.00,
2016,1,6,2016-01-16,"DL","N986AT","1793","ATL","DSM","1228",-2.00,"1334",-18.00,
2016,1,6,2016-01-16,"DL","N986AT","1793","DSM","ATL","1428",-2.00,"1717",-18.00,
2016,1,5,2016-01-15,"DL","N943DL","1952","DSM","ATL","0555",1.00,"0918",13.00,
2016,1,5,2016-01-15,"DL","N911DE","1953","ATL","DSM","2107",11.00,"2229",5.00,
2016,1,5,2016-01-15,"DL","N975AT","2541","ATL","DSM","0959",-1.00,"1058",-18.00,
2016,1,5,2016-01-15,"DL","N975AT","2541","DSM","ATL","1146",-6.00,"1449",-9.00,
2016,1,6,2016-01-16,"DL","N911DE","1952","DSM","ATL","0557",2.00,"0903",-2.00,
2016,1,6,2016-01-16,"DL","N936DL","1953","ATL","DSM","2218",-3.00,"2320",-20.00,
2016,1,1,2016-01-18,"DL","N992AT","1532","ATL","DSM","1510",0.00,"1623",-9.00,
2016,1,1,2016-01-18,"DL","N992AT","1532","DSM","ATL","1707",0.00,"2009",-6.00,
2016,1,2,2016-01-19,"DL","N972AT","1532","ATL","DSM","1509",-1.00,"1621",-11.00,
2016,1,2,2016-01-19,"DL","N972AT","1532","DSM","ATL","1703",-4.00,"2032",17.00,
2016,1,7,2016-01-17,"DL","N891AT","1793","ATL","DSM","1225",-5.00,"1341",-11.00,
2016,1,7,2016-01-17,"DL","N891AT","1793","DSM","ATL","1434",-6.00,"1719",-26.00,
2016,1,7,2016-01-17,"DL","N936DL","1952","DSM","ATL","0556",1.00,"0913",8.00,
2016,1,7,2016-01-17,"DL","N915DE","1953","ATL","DSM","2302",46.00,"0004",29.00,
2016,1,1,2016-01-18,"DL","N932AT","2541","ATL","DSM","0958",-2.00,"1111",-5.00,
2016,1,1,2016-01-18,"DL","N932AT","2541","DSM","ATL","1152",0.00,"1445",-13.00,
2016,1,1,2016-01-18,"DL","N915DE","1952","DSM","ATL","0548",-6.00,"0904",-1.00,
2016,1,1,2016-01-18,"DL","N907DE","1953","ATL","DSM","2214",-2.00,"2330",-8.00,
2016,1,2,2016-01-19,"DL","N907DE","1952","DSM","ATL","0552",-2.00,"0854",-11.00,
2016,1,2,2016-01-19,"DL","N917DL","1953","ATL","DSM","2051",-5.00,"2200",-24.00,
2016,1,2,2016-01-19,"DL","N961AT","2541","ATL","DSM","0959",-1.00,"1106",-10.00,
2016,1,2,2016-01-19,"DL","N961AT","2541","DSM","ATL","1152",0.00,"1512",14.00,
2016,1,7,2016-01-17,"AA","N813AW","779","PHX","DSM","1939",-6.00,"2326",-6.00,
2016,1,7,2016-01-17,"AA","N827AW","896","PHX","DSM","1310",-5.00,"1706",5.00,
2016,1,3,2016-01-13,"DL","N926DL","1952","DSM","ATL","0556",2.00,"0855",-10.00,
2016,1,3,2016-01-13,"DL","N927DA","1953","ATL","DSM","2052",-4.00,"2156",-28.00,
2016,1,3,2016-01-13,"DL","N921AT","2541","ATL","DSM","1000",0.00,"1113",-3.00,
2016,1,3,2016-01-13,"DL","N921AT","2541","DSM","ATL","1149",-3.00,"1437",-21.00,
2016,1,3,2016-01-13,"DL","N961AT","1532","ATL","DSM","1507",-3.00,"1617",-15.00,
2016,1,3,2016-01-13,"DL","N961AT","1532","DSM","ATL","1703",-4.00,"2004",-11.00,
2016,1,3,2016-01-20,"DL","N981AT","1532","ATL","DSM","1509",-1.00,"1624",-8.00,
2016,1,3,2016-01-20,"DL","N981AT","1532","DSM","ATL","1705",-2.00,"2006",-9.00,
2016,1,3,2016-01-20,"DL","N917DL","1952","DSM","ATL","0550",-4.00,"0900",-5.00,
2016,1,3,2016-01-20,"DL","N993DL","1953","ATL","DSM","2125",29.00,"2238",14.00,
2016,1,4,2016-01-21,"DL","N993DL","1952","DSM","ATL","0552",-2.00,"0907",2.00,
2016,1,4,2016-01-21,"DL","N971DL","1953","ATL","DSM","2137",41.00,"2238",14.00,
2016,1,3,2016-01-20,"DL","N939AT","2541","ATL","DSM","0958",-2.00,"1115",-1.00,
2016,1,3,2016-01-20,"DL","N939AT","2541","DSM","ATL","1152",0.00,"1437",-21.00,
2016,1,5,2016-01-22,"DL","N919AT","1532","ATL","DSM","1511",1.00,"1610",-22.00,
2016,1,5,2016-01-22,"DL","N919AT","1532","DSM","ATL","1830",83.00,"2141",86.00,
2016,1,5,2016-01-22,"DL","N971DL","1952","DSM","ATL","0632",38.00,"0937",32.00,
2016,1,5,2016-01-22,"DL","N984DL","1953","ATL","DSM","2219",83.00,"2330",66.00,
2016,1,4,2016-01-21,"DL","N920AT","1532","ATL","DSM","1515",5.00,"1611",-21.00,
2016,1,4,2016-01-21,"DL","N920AT","1532","DSM","ATL","1711",4.00,"2023",8.00,
2016,1,5,2016-01-22,"DL","N957AT","2541","ATL","DSM","1000",0.00,"1059",-17.00,
2016,1,5,2016-01-22,"DL","N957AT","2541","DSM","ATL","1148",-4.00,"1510",12.00,
2016,1,4,2016-01-21,"DL","N970AT","2541","ATL","DSM","0955",-5.00,"1058",-18.00,
2016,1,4,2016-01-21,"DL","N970AT","2541","DSM","ATL","1151",-1.00,"1445",-13.00,
2016,1,6,2016-01-23,"DL","N975AT","1793","ATL","DSM","1256",26.00,"1414",22.00,
2016,1,6,2016-01-23,"DL","N975AT","1793","DSM","ATL","1443",13.00,"1733",-2.00,
2016,1,6,2016-01-23,"DL","N984DL","1952","DSM","ATL","0551",-4.00,"0913",8.00,
2016,1,6,2016-01-23,"DL","N987DL","1953","ATL","DSM","2058",2.00,"2217",-4.00,
2016,1,7,2016-01-24,"DL","N978AT","2541","ATL","DSM","1029",29.00,"1139",23.00,
2016,1,7,2016-01-24,"DL","N978AT","2541","DSM","ATL","1218",27.00,"1516",19.00,
2016,1,7,2016-01-24,"DL","N607AT","1532","ATL","DSM","1508",-2.00,"1609",-23.00,
2016,1,7,2016-01-24,"DL","N607AT","1532","DSM","ATL","1705",-2.00,"2000",-15.00,
2016,1,7,2016-01-24,"DL","N987DL","1952","DSM","ATL","0547",-7.00,"0900",-5.00,
2016,1,7,2016-01-24,"DL","N983DL","1953","ATL","DSM","2149",53.00,"2244",20.00,
2016,1,1,2016-01-25,"DL","N983DL","1952","DSM","ATL","0549",-5.00,"0907",2.00,
2016,1,1,2016-01-25,"DL","N956DL","1953","ATL","DSM","2055",-1.00,"2158",-26.00,
2016,1,1,2016-01-25,"DL","N928AT","2541","ATL","DSM","1001",1.00,"1101",-15.00,
2016,1,1,2016-01-25,"DL","N928AT","2541","DSM","ATL","1155",3.00,"1451",-7.00,
2016,1,1,2016-01-25,"DL","N959AT","1532","ATL","DSM","1510",0.00,"1617",-15.00,
2016,1,1,2016-01-25,"DL","N959AT","1532","DSM","ATL","1702",-5.00,"2033",18.00,
2016,1,2,2016-01-26,"DL","N955AT","1532","ATL","DSM","1534",24.00,"1639",7.00,
2016,1,2,2016-01-26,"DL","N955AT","1532","DSM","ATL","1728",21.00,"2034",19.00,
2016,1,2,2016-01-26,"DL","N956DL","1952","DSM","ATL","0552",-2.00,"0905",0.00,
2016,1,2,2016-01-26,"DL","N901DE","1953","ATL","DSM","2054",-2.00,"2204",-20.00,
2016,1,3,2016-01-27,"DL","N957AT","2541","ATL","DSM","1000",0.00,"1104",-12.00,
2016,1,3,2016-01-27,"DL","N957AT","2541","DSM","ATL","1146",-6.00,"1438",-20.00,
2016,1,3,2016-01-27,"DL","N937AT","1532","ATL","DSM","1510",0.00,"1611",-21.00,
2016,1,3,2016-01-27,"DL","N937AT","1532","DSM","ATL","1657",-10.00,"1947",-28.00,
2016,1,3,2016-01-27,"DL","N901DE","1952","DSM","ATL","0549",-5.00,"0845",-20.00,
2016,1,3,2016-01-27,"DL","N908DE","1953","ATL","DSM","2055",-1.00,"2204",-20.00,
2016,1,4,2016-01-28,"DL","N908DE","1952","DSM","ATL","0551",-3.00,"0856",-9.00,
2016,1,4,2016-01-28,"DL","N942DL","1953","ATL","DSM","2055",-1.00,"2212",-12.00,
2016,1,4,2016-01-28,"DL","N980AT","1532","ATL","DSM","1505",-5.00,"1606",-26.00,
2016,1,4,2016-01-28,"DL","N980AT","1532","DSM","ATL","1704",-3.00,"1958",-17.00,
2016,1,5,2016-01-29,"DL","N979AT","1532","ATL","DSM","1510",0.00,"1612",-20.00,
2016,1,5,2016-01-29,"DL","N979AT","1532","DSM","ATL","1702",-5.00,"2001",-14.00,
2016,1,5,2016-01-29,"DL","N942DL","1952","DSM","ATL","0640",46.00,"0932",27.00,
2016,1,5,2016-01-29,"DL","N914DL","1953","ATL","DSM","2104",8.00,"2214",-10.00,
2016,1,4,2016-01-28,"DL","N955AT","2541","ATL","DSM","0959",-1.00,"1105",-11.00,
2016,1,4,2016-01-28,"DL","N955AT","2541","DSM","ATL","1147",-5.00,"1441",-17.00,
2016,1,6,2016-01-30,"DL","N954AT","1793","ATL","DSM","1230",0.00,"1332",-20.00,
2016,1,6,2016-01-30,"DL","N954AT","1793","DSM","ATL","1425",-5.00,"1709",-26.00,
2016,1,6,2016-01-30,"DL","N914DL","1952","DSM","ATL","0556",1.00,"0903",-2.00,
2016,1,6,2016-01-30,"DL","N951DL","1953","ATL","DSM","2055",-1.00,"2201",-20.00,
2016,1,7,2016-01-31,"DL","N919AT","2541","ATL","DSM","1001",1.00,"1103",-13.00,
2016,1,7,2016-01-31,"DL","N919AT","2541","DSM","ATL","1147",-4.00,"1438",-19.00,
2016,1,5,2016-01-29,"DL","N927AT","2541","ATL","DSM","0958",-2.00,"1107",-9.00,
2016,1,5,2016-01-29,"DL","N927AT","2541","DSM","ATL","1152",0.00,"1447",-11.00,
2016,1,7,2016-01-31,"DL","N980DL","1532","ATL","DSM","1506",-4.00,"1612",-20.00,
2016,1,7,2016-01-31,"DL","N980DL","1532","DSM","ATL","1656",-11.00,"1951",-24.00,
2016,1,7,2016-01-31,"DL","N951DL","1952","DSM","ATL","0556",2.00,"0859",-6.00,
2016,1,7,2016-01-31,"DL","N915DE","1953","ATL","DSM","2104",8.00,"2211",-13.00,
2016,1,4,2016-01-07,"EV","N13995","3269","IAH","DSM","2125",-4.00,"2337",-10.00,
2016,1,2,2016-01-05,"EV","N14920","3269","IAH","DSM","2124",-5.00,"2328",-19.00,
2016,1,5,2016-01-08,"EV","N21129","3269","IAH","DSM","2132",3.00,"0008",21.00,
2016,1,1,2016-01-11,"EV","N14203","3269","IAH","DSM","2125",-4.00,"2345",-2.00,
2016,1,7,2016-01-10,"EV","N14920","3269","IAH","DSM","2126",-3.00,"2342",-5.00,
2016,1,5,2016-01-15,"EV","N15912","3269","IAH","DSM","2125",-4.00,"2342",-5.00,
2016,1,3,2016-01-13,"EV","N16981","3269","IAH","DSM","2119",-10.00,"2333",-14.00,
2016,1,7,2016-01-17,"EV","N12563","3269","IAH","DSM","2120",-9.00,"2333",-14.00,
2016,1,1,2016-01-18,"EV","N12900","3269","IAH","DSM","2123",-6.00,"0001",14.00,
2016,1,7,2016-01-31,"EV","N14998","3269","IAH","DSM","2119",-10.00,"2347",0.00,
2016,1,3,2016-01-06,"EV","N14543","3269","IAH","DSM","2214",45.00,"0037",50.00,
2016,1,5,2016-01-29,"EV","N13989","3269","IAH","DSM","2123",-6.00,"2334",-13.00,
2016,1,2,2016-01-19,"EV","N15572","3269","IAH","DSM","2120",-9.00,"2331",-16.00,
2016,1,2,2016-01-12,"EV","N14998","3269","IAH","DSM","2126",-3.00,"2337",-10.00,
2016,1,3,2016-01-20,"EV","N16571","3269","IAH","DSM","2118",-11.00,"2328",-19.00,
2016,1,4,2016-01-21,"EV","N15572","3269","IAH","DSM","2156",27.00,"0019",32.00,
2016,1,1,2016-01-25,"EV","N21129","3269","IAH","DSM","2138",9.00,"2354",7.00,
2016,1,2,2016-01-26,"EV","N11535","3269","IAH","DSM","2216",47.00,"0032",45.00,
2016,1,4,2016-01-28,"EV","N15980","3269","IAH","DSM","2124",-5.00,"2348",1.00,
2016,1,3,2016-01-27,"EV","N26549","3269","IAH","DSM","2123",-6.00,"2345",-2.00,
2016,1,7,2016-01-24,"EV","N12163","3269","IAH","DSM","2119",-10.00,"2338",-9.00,
2016,1,5,2016-01-22,"EV","N13538","3269","IAH","DSM","2125",-4.00,"2344",-3.00,
2016,1,4,2016-01-14,"EV","N13903","3269","IAH","DSM","2124",-5.00,"2331",-16.00,
2016,1,7,2016-01-17,"EV","N16561","3814","ORD","DSM","2225",-5.00,"2349",-7.00,
2016,1,6,2016-01-02,"EV","N11193","3840","DSM","ORD","1108",-7.00,"1219",-20.00,
2016,1,5,2016-01-01,"EV","N17115","3840","DSM","ORD","1128",13.00,"1255",16.00,
2016,1,7,2016-01-03,"EV","N14179","3840","DSM","ORD","1122",7.00,"1252",13.00,
2016,1,1,2016-01-04,"EV","N13978","3840","DSM","ORD","1143",7.00,"1305",5.00,
2016,1,6,2016-01-09,"EV","N21129","3851","DSM","ORD","0827",12.00,"0956",10.00,
2016,1,6,2016-01-23,"EV","N16919","3851","DSM","ORD","0808",-7.00,"0935",-11.00,
2016,1,6,2016-01-30,"EV","N16981","3851","DSM","ORD","0818",3.00,"0935",-11.00,
2016,1,6,2016-01-16,"EV","N11548","3851","DSM","ORD","0821",6.00,"0936",-10.00,
2016,1,4,2016-01-07,"EV","N14158","4112","IAH","DSM","1726",-4.00,"1959",9.00,
2016,1,5,2016-01-01,"EV","N17169","4112","IAH","DSM","1546",-5.00,"1814",3.00,
2016,1,2,2016-01-05,"EV","N17159","4112","IAH","DSM","1624",-1.00,"1857",12.00,
2016,1,7,2016-01-10,"EV","N16561","4112","IAH","DSM","1619",-6.00,"1918",33.00,
2016,1,1,2016-01-11,"EV","N11127","4112","IAH","DSM","1733",68.00,"1950",65.00,
2016,1,1,2016-01-04,"EV","N14168","4112","IAH","DSM","1555",4.00,"1809",-2.00,
2016,1,3,2016-01-13,"EV","N15574","4112","IAH","DSM","1624",-1.00,"1845",0.00,
2016,1,5,2016-01-15,"EV","N11548","4112","IAH","DSM","1617",-8.00,"1840",-5.00,
2016,1,1,2016-01-18,"EV","N17560","4112","IAH","DSM","1622",-3.00,"1844",-1.00,
2016,1,4,2016-01-21,"EV","N12921","4112","IAH","DSM","1740",10.00,"2000",10.00,
2016,1,2,2016-01-12,"EV","N12201","4112","IAH","DSM","1620",-5.00,"1840",-5.00,
2016,1,3,2016-01-06,"EV","N26545","4112","IAH","DSM","1620",-5.00,"1845",0.00,
2016,1,7,2016-01-17,"EV","N16559","4112","IAH","DSM","1550",-2.00,"1817",5.00,
2016,1,2,2016-01-19,"EV","N13975","4112","IAH","DSM","1621",-4.00,"1849",4.00,
2016,1,7,2016-01-31,"EV","N16561","4112","IAH","DSM","1621",-4.00,"1839",-6.00,
2016,1,2,2016-01-26,"EV","N24103","4112","IAH","DSM","1621",-4.00,"1830",-15.00,
2016,1,5,2016-01-29,"EV","N14568","4112","IAH","DSM","1624",-1.00,"1836",-9.00,
2016,1,1,2016-01-25,"EV","N15912","4112","IAH","DSM","1616",-9.00,"1838",-7.00,
2016,1,3,2016-01-20,"EV","N15985","4112","IAH","DSM","1620",-5.00,"1831",-14.00,
2016,1,3,2016-01-27,"EV","N11184","4112","IAH","DSM","1620",-5.00,"1843",-2.00,
2016,1,4,2016-01-28,"EV","N13914","4112","IAH","DSM","1729",-1.00,"1955",5.00,
2016,1,5,2016-01-22,"EV","N16919","4112","IAH","DSM","1620",-5.00,"1900",15.00,
2016,1,4,2016-01-14,"EV","N13908","4112","IAH","DSM","1725",-5.00,"1931",-19.00,
2016,1,7,2016-01-24,"EV","N16918","4112","IAH","DSM","1616",-9.00,"1834",-11.00,
2016,1,5,2016-01-08,"EV","N16976","4139","DSM","IAH","1806",-3.00,"2057",18.00,
2016,1,4,2016-01-07,"EV","N13908","4139","DSM","IAH","1833",24.00,"2054",15.00,
2016,1,2,2016-01-05,"EV","N12540","4139","DSM","IAH","1805",-4.00,"2026",-13.00,
2016,1,5,2016-01-01,"EV","N12540","4139","DSM","IAH","1808",26.00,"2026",14.00,
2016,1,1,2016-01-04,"EV","N48901","4139","DSM","IAH","1743",1.00,"1958",-14.00,
2016,1,7,2016-01-03,"EV","N12540","4139","DSM","IAH","1822",40.00,"2031",19.00,
2016,1,7,2016-01-10,"EV","N11199","4139","DSM","IAH","1816",7.00,"2047",8.00,
2016,1,4,2016-01-21,"EV","N13538","4139","DSM","IAH","1801",-8.00,"2029",-10.00,
2016,1,5,2016-01-15,"EV","N11565","4139","DSM","IAH","1808",-1.00,"2031",-8.00,
2016,1,3,2016-01-13,"EV","N15985","4139","DSM","IAH","1820",11.00,"2043",4.00,
2016,1,1,2016-01-11,"EV","N11548","4139","DSM","IAH","1852",43.00,"2106",27.00,
2016,1,1,2016-01-18,"EV","N13997","4139","DSM","IAH","1806",-3.00,"2013",-26.00,
2016,1,5,2016-01-29,"EV","N15912","4139","DSM","IAH","1804",-5.00,"2024",-15.00,
2016,1,1,2016-01-25,"EV","N14977","4139","DSM","IAH","1805",-4.00,"2059",20.00,
2016,1,2,2016-01-26,"EV","N11536","4139","DSM","IAH","1806",-3.00,"2057",18.00,
2016,1,3,2016-01-06,"EV","N14993","4139","DSM","IAH","1800",-9.00,"2045",6.00,
2016,1,7,2016-01-31,"EV","N11535","4139","DSM","IAH","1809",0.00,"2025",-14.00,
2016,1,7,2016-01-17,"EV","N13550","4139","DSM","IAH","1805",-4.00,"2023",-16.00,
2016,1,3,2016-01-27,"EV","N17560","4139","DSM","IAH","1820",11.00,"2035",-4.00,
2016,1,4,2016-01-28,"EV","N16911","4139","DSM","IAH","1820",11.00,"2026",-13.00,
2016,1,2,2016-01-19,"EV","N16919","4139","DSM","IAH","1816",7.00,"2106",27.00,
2016,1,3,2016-01-20,"EV","N36915","4139","DSM","IAH","1816",7.00,"2039",0.00,
2016,1,4,2016-01-14,"EV","N12924","4139","DSM","IAH","1801",-8.00,"2022",-17.00,
2016,1,2,2016-01-12,"EV","N16571","4139","DSM","IAH","1831",22.00,"2051",12.00,
2016,1,7,2016-01-24,"EV","N14977","4139","DSM","IAH","1824",15.00,"2046",7.00,
2016,1,5,2016-01-22,"EV","N11184","4139","DSM","IAH","1825",16.00,"2037",-2.00,
2016,1,6,2016-01-02,"EV","N21537","4151","DSM","EWR","0727",52.00,"1101",49.00,
2016,1,1,2016-01-04,"EV","N13161","4151","DSM","EWR","0725",0.00,"1105",3.00,
2016,1,7,2016-01-03,"EV","N14991","4261","DSM","EWR","0720",-5.00,"1056",-6.00,
2016,1,2,2016-01-05,"DL","N972AT","2541","ATL","DSM","1005",5.00,"1105",-11.00,
2016,1,2,2016-01-05,"DL","N972AT","2541","DSM","ATL","1207",15.00,"1502",4.00,
2016,1,4,2016-01-07,"EV","N26545","4236","DSM","IAH","0522",-8.00,"0803",-7.00,
2016,1,6,2016-01-02,"EV","N21144","4236","DSM","IAH","0604",39.00,"0827",23.00,
2016,1,1,2016-01-11,"EV","N14920","4236","DSM","IAH","0533",3.00,"0817",7.00,
2016,1,3,2016-01-13,"EV","N12201","4236","DSM","IAH","0644",74.00,"0855",45.00,
2016,1,7,2016-01-10,"EV","N17146","4236","DSM","IAH","0554",24.00,"0843",33.00,
2016,1,5,2016-01-15,"EV","N13903","4236","DSM","IAH","0528",-2.00,"0753",-17.00,
2016,1,4,2016-01-21,"EV","N16571","4236","DSM","IAH","0525",-5.00,"0817",7.00,
2016,1,7,2016-01-17,"EV","N13550","4236","DSM","IAH","0541",11.00,"0838",28.00,
2016,1,3,2016-01-06,"EV","N17159","4236","DSM","IAH","0533",3.00,"0748",-22.00,
2016,1,1,2016-01-18,"EV","N12563","4236","DSM","IAH","0527",-3.00,"0800",-10.00,
2016,1,4,2016-01-28,"EV","N26549","4236","DSM","IAH","0528",-2.00,"0737",-33.00,
2016,1,5,2016-01-29,"EV","N15980","4236","DSM","IAH","0529",-1.00,"0759",-11.00,
2016,1,6,2016-01-23,"EV","N13538","4236","DSM","IAH","0528",-2.00,"0759",-11.00,
2016,1,2,2016-01-26,"EV","N21129","4236","DSM","IAH","0614",44.00,"0837",27.00,
2016,1,2,2016-01-19,"EV","N12900","4236","DSM","IAH","0523",-7.00,"0753",-17.00,
2016,1,5,2016-01-22,"EV","N15572","4236","DSM","IAH","0528",-2.00,"0738",-32.00,
2016,1,3,2016-01-20,"EV","N13975","4236","DSM","IAH","0529",-1.00,"0810",0.00,
2016,1,3,2016-01-27,"EV","N11535","4236","DSM","IAH","0530",0.00,"0750",-20.00,
2016,1,2,2016-01-12,"EV","N14203","4236","DSM","IAH","0544",14.00,"0802",-8.00,
2016,1,1,2016-01-25,"EV","N16918","4236","DSM","IAH","0528",-2.00,"0811",1.00,
2016,1,5,2016-01-08,"EV","N14158","4236","DSM","IAH","0527",-3.00,"1216",,
2016,1,7,2016-01-24,"EV","N13553","4236","DSM","IAH","0526",-4.00,"0840",30.00,
2016,1,6,2016-01-16,"EV","N15912","4236","DSM","IAH","0544",14.00,"0810",0.00,
2016,1,6,2016-01-30,"EV","N14568","4236","DSM","IAH","0524",-6.00,"0809",-1.00,
2016,1,4,2016-01-14,"EV","N16981","4236","DSM","IAH","0540",10.00,"0818",8.00,
2016,1,6,2016-01-02,"EV","N14991","4249","ORD","DSM","2232",1.00,"0007",6.00,
2016,1,5,2016-01-01,"EV","N21537","4310","IAH","DSM","2116",-2.00,"2400",22.00,
2016,1,7,2016-01-03,"EV","N12900","4338","DSM","ORD","",,"",,
2016,1,1,2016-01-04,"EV","N11544","4346","ORD","DSM","1247",32.00,"1402",27.00,
2016,1,5,2016-01-01,"EV","N17169","4304","DSM","ORD","1855",8.00,"2013",5.00,
2016,1,6,2016-01-02,"EV","N11164","4304","DSM","ORD","1414",3.00,"1533",-2.00,
2016,1,7,2016-01-03,"EV","N11176","4304","DSM","ORD","2017",90.00,"2149",101.00,
2016,1,1,2016-01-04,"EV","N14168","4304","DSM","ORD","1842",-5.00,"1954",-14.00,
2016,1,7,2016-01-17,"EV","N16559","4304","DSM","ORD","1843",-1.00,"2002",-8.00,
